,dqn_sum,dqn_pid_0,dqn_pid_1
622000,0.0,1.0,-1.0
623000,1.71,1.0,0.71
624000,1.748,1.0,0.748
625000,1.726,1.0,0.726
626000,1.752,1.0,0.752
627000,1.716,1.0,0.716
628000,1.688,1.0,0.688
629000,1.738,1.0,0.738
630000,1.726,1.0,0.726
631000,1.76,1.0,0.76
632000,1.714,1.0,0.714
633000,1.724,1.0,0.724
634000,1.754,1.0,0.754
635000,1.762,1.0,0.762
636000,0.0,1.0,-1.0
637000,1.726,1.0,0.726
638000,1.746,1.0,0.746
639000,1.718,1.0,0.718
640000,1.706,1.0,0.706
641000,1.72,1.0,0.72
642000,1.734,1.0,0.734
643000,1.764,1.0,0.764
644000,1.712,1.0,0.712
645000,0.0,1.0,-1.0
646000,1.75,1.0,0.75
647000,1.752,1.0,0.752
648000,1.71,1.0,0.71
649000,1.63,1.0,0.63
650000,0.0,1.0,-1.0
651000,1.696,1.0,0.696
652000,1.746,1.0,0.746
653000,0.0,1.0,-1.0
654000,0.0,1.0,-1.0
655000,1.688,1.0,0.688
656000,1.6480000000000001,1.0,0.648
657000,1.726,1.0,0.726
658000,1.75,1.0,0.75
659000,0.0,1.0,-1.0
660000,1.646,1.0,0.646
661000,1.744,1.0,0.744
662000,1.688,1.0,0.688
663000,1.686,1.0,0.686
664000,0.0,1.0,-1.0
665000,1.754,1.0,0.754
666000,1.754,1.0,0.754
667000,0.0,1.0,-1.0
668000,1.732,1.0,0.732
669000,1.744,1.0,0.744
670000,1.6320000000000001,0.954,0.678
671000,1.718,1.0,0.718
672000,1.702,0.976,0.726
673000,1.778,1.0,0.778
674000,1.678,1.0,0.678
675000,1.696,1.0,0.696
676000,1.718,1.0,0.718
677000,1.72,1.0,0.72
678000,1.718,1.0,0.718
679000,1.722,1.0,0.722
680000,1.716,1.0,0.716
681000,1.706,1.0,0.706
682000,1.762,1.0,0.762
683000,1.724,1.0,0.724
684000,1.724,1.0,0.724
685000,1.71,1.0,0.71
686000,0.0,1.0,-1.0
687000,1.698,1.0,0.698
688000,1.67,1.0,0.67
689000,1.6520000000000001,1.0,0.652
690000,1.734,1.0,0.734
691000,1.6600000000000001,1.0,0.66
692000,1.6720000000000002,1.0,0.672
693000,1.714,1.0,0.714
694000,1.732,1.0,0.732
695000,0.0,1.0,-1.0
696000,1.754,1.0,0.754
697000,1.718,1.0,0.718
698000,1.692,1.0,0.692
699000,1.708,1.0,0.708
700000,1.732,1.0,0.732
701000,1.726,1.0,0.726
702000,1.714,1.0,0.714
703000,0.0,1.0,-1.0
704000,1.736,1.0,0.736
705000,1.728,1.0,0.728
706000,1.746,1.0,0.746
707000,1.712,1.0,0.712
708000,1.732,1.0,0.732
709000,1.696,1.0,0.696
710000,0.0,1.0,-1.0
711000,1.732,1.0,0.732
712000,1.7,1.0,0.7
713000,1.694,1.0,0.694
714000,1.674,1.0,0.674
715000,1.716,1.0,0.716
