,dqn_sum,dqn_pid_0,dqn_pid_1
619000,1.349,0.884,0.465
620000,1.408,0.935,0.473
621000,1.395,0.925,0.47
622000,1.396,0.92,0.476
623000,1.441,1.0,0.441
624000,1.335,0.921,0.414
625000,1.375,0.933,0.442
626000,1.314,0.916,0.398
627000,1.227,0.894,0.333
628000,1.291,0.903,0.388
629000,1.332,0.89,0.442
630000,1.425,1.0,0.425
631000,1.37,0.933,0.437
632000,1.333,0.924,0.409
633000,1.339,0.919,0.42
634000,1.38,0.941,0.439
635000,1.314,0.89,0.424
636000,1.338,0.917,0.421
637000,1.3900000000000001,0.911,0.479
638000,1.386,0.938,0.448
639000,1.385,0.914,0.471
640000,1.338,0.936,0.402
641000,1.381,0.915,0.466
642000,-0.07699999999999996,0.923,-1.0
643000,1.413,0.936,0.477
644000,1.338,0.929,0.409
645000,-0.09799999999999998,0.902,-1.0
646000,1.319,0.899,0.42
647000,1.3900000000000001,0.925,0.465
648000,1.31,0.898,0.412
649000,-0.07999999999999996,0.92,-1.0
650000,1.327,0.918,0.409
651000,1.393,0.92,0.473
652000,1.327,0.91,0.417
653000,1.454,1.0,0.454
654000,-0.573,-1.0,0.427
655000,1.3679999999999999,0.943,0.425
656000,1.411,0.952,0.459
657000,1.412,0.922,0.49
658000,1.316,0.889,0.427
659000,1.326,0.927,0.399
660000,1.333,0.938,0.395
661000,1.295,0.926,0.369
662000,1.254,0.905,0.349
663000,1.381,0.933,0.448
664000,1.331,0.918,0.413
665000,1.421,1.0,0.421
666000,1.407,0.948,0.459
667000,1.401,0.937,0.464
668000,1.4,0.923,0.477
669000,1.389,0.935,0.454
670000,1.432,1.0,0.432
671000,1.3800000000000001,0.933,0.447
672000,0.465,0.0,0.465
673000,1.4209999999999998,0.944,0.477
674000,1.327,0.929,0.398
675000,1.399,0.947,0.452
676000,1.358,0.91,0.448
677000,1.374,0.93,0.444
678000,-0.08799999999999997,0.912,-1.0
679000,-0.05900000000000005,0.941,-1.0
680000,1.275,0.95,0.325
681000,1.336,0.919,0.417
682000,1.341,0.93,0.411
683000,1.32,0.907,0.413
684000,1.342,0.934,0.408
685000,1.344,0.929,0.415
686000,1.29,0.925,0.365
687000,1.317,0.943,0.374
688000,-0.062000000000000055,0.938,-1.0
689000,1.377,0.93,0.447
690000,1.307,0.935,0.372
691000,1.44,1.0,0.44
692000,1.425,1.0,0.425
693000,1.4,1.0,0.4
694000,1.389,0.941,0.448
695000,1.372,0.927,0.445
696000,1.357,0.915,0.442
697000,1.3090000000000002,0.92,0.389
698000,1.328,0.906,0.422
699000,-0.07499999999999996,0.925,-1.0
700000,1.358,0.899,0.459
701000,1.357,0.932,0.425
702000,1.345,0.931,0.414
703000,-0.041000000000000036,0.959,-1.0
704000,1.319,0.925,0.394
705000,1.332,0.937,0.395
706000,1.357,0.938,0.419
707000,1.3619999999999999,0.94,0.422
708000,1.388,0.941,0.447
709000,1.361,0.926,0.435
710000,1.33,0.899,0.431
711000,1.3050000000000002,0.931,0.374
712000,1.393,0.923,0.47
713000,-0.06799999999999995,0.932,-1.0
714000,1.347,0.927,0.42
715000,-0.06499999999999995,0.935,-1.0
716000,1.367,0.92,0.447
717000,1.348,0.93,0.418
718000,1.422,0.938,0.484
719000,1.315,0.928,0.387
720000,1.361,0.931,0.43
721000,1.302,0.934,0.368
722000,1.345,0.931,0.414
723000,1.341,0.933,0.408
724000,1.9220000000000002,0.922,1.0
725000,1.298,0.9,0.398
726000,1.207,0.881,0.326
727000,1.292,0.916,0.376
728000,1.3010000000000002,0.931,0.37
729000,1.45,1.0,0.45
730000,1.3,0.895,0.405
731000,1.3840000000000001,0.923,0.461
732000,1.346,0.923,0.423
733000,1.32,0.92,0.4
734000,1.412,1.0,0.412
735000,-0.09899999999999998,0.901,-1.0
736000,1.357,0.928,0.429
737000,1.316,0.907,0.409
738000,1.365,0.932,0.433
739000,1.286,0.926,0.36
740000,1.32,0.921,0.399
741000,1.352,0.919,0.433
742000,1.355,0.919,0.436
743000,1.328,0.921,0.407
744000,1.364,0.926,0.438
745000,-0.06999999999999995,0.93,-1.0
746000,1.331,0.94,0.391
747000,1.3820000000000001,0.919,0.463
748000,0.461,0.0,0.461
749000,1.3359999999999999,0.94,0.396
750000,1.3940000000000001,0.918,0.476
751000,1.284,0.906,0.378
752000,0.869,0.869,0.0
753000,0.439,0.0,0.439
754000,1.286,0.939,0.347
755000,0.943,0.943,0.0
756000,1.322,0.939,0.383
757000,1.3499999999999999,0.939,0.411
758000,1.337,0.919,0.418
759000,1.298,0.929,0.369
760000,1.3739999999999999,0.946,0.428
761000,1.3330000000000002,0.927,0.406
762000,1.298,0.908,0.39
763000,0.367,0.0,0.367
764000,1.282,0.922,0.36
765000,1.319,0.921,0.398
